RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition	FDCIO162	FDCIO164	Designator FDCIO162	Designator FDCIO164	Cell	Height	X_Cor	Y_Cor	Rotation	PlacementSide	Technology	PartListExclude
R163	TP153,TP149	A5Q00008479/01;1-RES_MFILM_100R_1%_0.063W_100PPM_0402_SMT x 2		A5Q00008479	Resistor			R163,R406	R163,R406	R0402	0.4	45.4	39.5	270	Top	SMD	
R200	TP206,TP201	A5Q00008507/01;1-RES_MFILM_33K_OHM_1%_0.063W_0402_SMT x 4		A5Q00008507	Resistor	Unplaced		R203,R221	R200,R203,R221-R222	R0402	0.4	32.1	36.2	90	Bottom	SMD	
R201	TP206,TP207	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	36.5	35.1	0	Top	SMD	
R202	TP205,TP212	A5Q20002149/C;1-RES_MET_FLM_0.33R_+-2%_1W_0207MELF_SMD x 4		A5Q20002149	Resistor	Unplaced		R207,R224	R202,R207,R223-R224	R0207_MELF_6123	2.4	39.6	38.9	0	Top	SMD	
R203	TP201,TP208	A5Q00008507/01;1-RES_MFILM_33K_OHM_1%_0.063W_0402_SMT x 4		A5Q00008507	Resistor			R203,R221	R200,R203,R221-R222	R0402	0.4	26.4	37.6	180	Bottom	SMD	
R204	TP211,TP212	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	39.3	36.6	0	Top	SMD	
R205	TP208,TP210	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	22.1	35.1	180	Top	SMD	
R206	TP213,TP211	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	36.5	36.2	0	Top	SMD	
R207	TP205,TP216	A5Q20002149/C;1-RES_MET_FLM_0.33R_+-2%_1W_0207MELF_SMD x 4		A5Q20002149	Resistor			R207,R224	R202,R207,R223-R224	R0207_MELF_6123	2.4	19	38.9	180	Top	SMD	
R208	TP214,TP201	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor			R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	42.7	23.5	0	Top	SMD	
R209	TP217,TP216	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	19.56	36.6	180	Top	SMD	
R210	TP219,TP217	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	22.1	36.6	180	Top	SMD	
R211	TP218,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	30.1	36.9	270	Bottom	SMD	
R212	TP201,TP220	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor			R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	36.7	23.5	0	Top	SMD	
R213	TP209,TP225	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	39.3	37.1	0	Bottom	SMD	
