RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition
V142	TP106,TP146	A5Q00007861/01;1-DIO_ZENER_BZX84_12V_+-2%_SOT-023_SMD x 2		A5Q00007861	Diode
V150	TP102,TP101	A5Q00004550/01;1-DIODE_RECTIFIER_1.1V@1A_1000V_SM_SMA x 2		A5Q00004550	Diode
V151	TP106,TP101	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode
V152	TP100,TP101	A5Q00004550/01;1-DIODE_RECTIFIER_1.1V@1A_1000V_SM_SMA x 2		A5Q00004550	Diode
V157	TP103,TP111,TP106	A5Q20002461/A;1-TRANS_NPN_BC846B_65V_100mA_SOT-023-3_SMD x 2		A5Q20002461	Transistor
V200	TP205,TP217,TP210,TP205,TP236,TP231	A5Q20008929/A;1-TRANS_PNP_ARRAY_60V_100mA_SOT-563_SMD x 2		A5Q20008929	Transistor
V202	TP208,TP250,TP219,TP221,TP250,TP222	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet
V203	TP229,TP250,TP239,TP243,TP250,TP245	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet
V204	TP206,TP201,TP213,TP218,TP201,TP225	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet
V206	TP202,TP201	A5Q00002104/01;1-SURGE PROTECTOR_DIODE_BIDIRECTIONAL_ x 1		A5Q00002104	Diode
V207	TP203,TP204	A5Q00009208/01;1-DIODE_SCHOTTKY_SS26_2A_60V_SMB_DO214AA_ x 1		A5Q00009208	Diode
V208	TP203,TP205	A5Q20000905/A;1-DIO_RECTIFIER_MURS320_3A_200V_SMC_SMD x 1		A5Q20000905	Diode
V211	TP208,TP249	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode
V212	TP210,TP215	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode
V215	TP215,TP216,TP224,TP234,TP237,TP247	A5Q20008391/A;1-TRANS_FET_E_P_60V_-2.6_0.08R_SO-8_SMD x 2		A5Q20008391	Mosfet
V217	TP250,TP224	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode
V218	TP229,TP154	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode
V220	TP231,TP234	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode
V224	TP250,TP247	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode
V300	TP301,TP201,TP305,TP302,TP201,TP306	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet
V302	TP303,TP204,TP307,TP304,TP204,TP308	A5Q20008932/A;1-TRANS_FET_E_P_60V_500mA_4R_SC-89_SMD x 2		A5Q20008932	Mosfet
V304	TP201,TP309	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode
V305	TP201,TP310	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode
V400	TP204,TP400,TP???	A5Q20006720/A;1-TRANS_NPN_60V_1A_SOT-089_SMD x 1		A5Q20006720	Transistor
V401	TP201,TP400	A5Q00007861/01;1-DIO_ZENER_BZX84_12V_+-2%_SOT-023_SMD x 2		A5Q00007861	Diode
X400	TP???,TP???	A5Q20009509/A;1-TERMINAL_PCB_SCREW_OTHER_THD x 1		A5Q20009509	Connector
X401	TP???,TP???	A5Q20009729/A01;1-CON_B-to-W_5MM_FEMALE_12P_THD x 1		A5Q20009729	Connecror
X402	TP???,TP???	A5Q20009730/A01;1-CON_B-to-W_5MM_FEMALE_8P_THD x 1		A5Q20009730	Connecror
Z100	TP152,TP156	A5Q00003514/01;1-BEAD_FERRITE_EMI_SUPPRESSION_330R @ 100MHZ x 1		A5Q00003514	Filter
V154	TP105,TP106,TP102,TP107,TP106,TP100	A5Q00002665/01;1-TRANS_FET_S_N_60V_2.6A_0R1_SO-08_SMD x 1		A5Q00002665	Mosfet
